title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_RAM Size,tech_Computer Memory Type,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Package Dimensions,tech_Memory Clock Speed,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Optical Drive Type,tech_Speaker Description,tech_Rear Webcam Resolution,tech_Power Source,tech_Hardware Platform,tech_Hard Disk Rotational Speed,tech_Wireless Type,tech_Lithium Battery Weight,tech_Front Webcam Resolution,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Colour Screen,tech_Audio Output Type,tech_Video Output,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Number of Ports,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Has audio recording capabilities,tech_Supports Bluetooth Technology,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Battery Average Life,tech_Battery Average Life Standby
"HP 15s, 13th Gen Intel Core i5-1335U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, Intel Iris Xe Graphics, Backlit KB, FHD Camera, hr0000tu","64,490",https://www.amazon.in/HP-i5-1335U-Anti-Glare-15-6-inch-Graphics/dp/B0C3CMCLYT/ref=sr_1_1009?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1009&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,HP Laptop,Natural Silver With Offer,Netbook,52.5 Centimeters,31.4 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,7.1 x 31.4 x 52.5 cm; 1.6 kg,1 Lithium Ion batteries required. (included),15-hr0000TU,Intel,Core i5,4.6 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,9 Hours,Yes,,3,"Laptop, Power Adapter, User Manual",China,1 kg 600 g,B0C3CMCLYT,"3.8
30 ratings
3.8 out of 5 stars","#43,509 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,267 in Traditional Laptops",24 April 2023,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,7.1 x 31.4 x 52.5 Centimeters,1 count,Laptop,8 GB,,512 GB,Solid State,Intel Iris Xe Graphics,8 GB,,3200 GHz,,2,1,41 Volts,41 Watt Hours,,Audio by B&O and Dual speakers,0.92 MP,,PC,,Bluetooth,,1080 Pixels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultimus Pro Nxt 12thGen Intel i3-N100~3.4 GHz, 8GB RAM 256GB SSD, 1TB expandable 2MP HD Webcam 14.1""FHD Display Full Type-C Intel UHD Graphics supports 4K display Windows 11 Home 1.38Kg Silver","21,990",https://www.amazon.in/Ultimus-i3-N100-3-4-expandable-Graphics-supports/dp/B0DN6H5S5Q/ref=sr_1_1010?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1010&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,FUTOPIA,Futopia Global Pvt Ltd,NU14U5INT54BN,Silver,Laptop,,,14.1 Inches,1920 x 1080 pixels,,,,,Intel,Intel Core i3,3.4 GHz,4,DDR4,8 GB,SSD,Built In Speaker,Intel,Integrated,GDDR4,Integrated,,Windows 11 Home,,,,,"Laptop, Adapter, User Manual,Warranty Card",India,1 kg 380 g,B0DN6H5S5Q,"5.0
1 rating
5.0 out of 5 stars","#60,630 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,851 in Traditional Laptops",28 May 2024,Futopia Global Pvt Ltd,,,1.00 count,Ultimus N100,,,,,,,39.9 x 32.5 x 8.9 cm; 1.38 kg,,1,1,1,,,,Built-in Stereo Speakers,,,,,,,2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 15, Enhanced by AI, AMD Ryzen 5 7535HS, 15.6-inch (39.6cm), FHD, 8GB DDR5, 512GB SSD, AMD Radeon Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.59kg), fc1004AU","51,990",https://www.amazon.in/HP-Enhanced-15-6-inch-Graphics-fc1004AU/dp/B0DGX82JJW/ref=sr_1_1011?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1011&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,fc1004AU,Silver,Netbook,,,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),AK6C7PA,AMD,Ryzen 5,4.55 GHz,1,DDR5,8 GB,SSD,Speakers,AMD,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,,Yes,41 Watt Hours,3,"Laptop, charger",China,1 kg 590 g,B0DGX82JJW,,"#56,594 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,704 in Traditional Laptops",13 September 2024,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,,1 Pack,Laptop,,,512 GB,,,,51.79 x 31.1 x 7 cm; 1.59 kg,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU","45,041",https://www.amazon.in/Refurbished-HP-i5-1235U-15-6-inch-Graphics/dp/B0DCP51S6Y/ref=sr_1_1012?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1012&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,HP Laptop,Silver,Laptop,52 Centimeters,31.2 Centimeters,15.6 Inches,1920 x 1080 pixel,1920x1080,6.9 x 31.2 x 52 cm; 1.69 kg,,A28GDPA-cr,Intel,Intel Core i5,4.4 GHz,1,DDR4,16 GB,SSD,internal,Intel,Integrated,DDR4 SDRAM,,Wi-Fi,Windows 11 Home,,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",,1 kg 690 g,B0DCP51S6Y,,"#63,481 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,948 in Traditional Laptops",9 August 2024,,,6.9 x 31.2 x 52 Centimeters,,Laptop,16,DDR4 SDRAM,512 GB,Serial ATA,Intel Iris Xe Graphics,,,,,,,11.25 Volts,,,stereo,,,,,802.11n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 7535HS 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win11/Office 2021/NVIDIA RTX 3050 6GB/Alexa/3 Month Game Pass/Onyx Grey/2.3Kg), 82SB00QKIN","67,500",https://www.amazon.in/Lenovo-IdeaPad-Gaming-39-62cm-82SB00QKIN/dp/B0D8HW13XP/ref=sr_1_1013?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1013&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,IdeaPad Gaming 3 15ARH7,Onyx Grey,Gaming,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),82SB00QKIN,AMD,Ryzen 5,3.3 GHz,6,DDR5,16 GB,SSD,"Headphones, Speakers",NVIDIA,Dedicated,Shared,PCI Express,"Bluetooth, Wi-Fi",Windows 11 Home,6.5 Hours,Yes,,3,"Laptop,Power Adapter,User Guide,,,,,,,,,,,,,,,,,",,2 kg 320 g,B0D8HW13XP,"3.6
55 ratings
3.6 out of 5 stars","#53,889 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,613 in Traditional Laptops",1 July 2024,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Count,Laptop,16,DDR5 RAM,512 GB,,NVIDIA GeForce RTX 3050 6GB GDDR6,6 GB,55.5 x 36.9 x 8.6 cm; 2.32 kg,,,3,,,,No Optical Drive,"Stereo speakers, 2W x2, Nahimic Audio",,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Modern 14, Intel 12Th Gen. I5 1235U,36Cm Laptop(8GB/512GB NVME SSD/Windows 11 Home/Iris Xe/Classic Black/1.4Kg),C12MO-1204IN","36,990",https://www.amazon.in/Modern-Laptop-Windows-Classic-C12MO-1204IN/dp/B0D3LNL52Z/ref=sr_1_1014?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1014&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,MSI,MSI,Modern 14,Classic Black,Laptop,43.1 Centimeters,28.4 Centimeters,36 Centimetres,1920 x 1080 pixel,,7.9 x 28.4 x 43.1 cm; 1.4 kg,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i5,1.3 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,,Yes,39.3 Watt Hours,3,"Laptop, Power Adapter, Battery",China,1 kg 400 g,B0D3LNL52Z,"3.2
4 ratings
3.2 out of 5 stars","#56,287 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,687 in Traditional Laptops",8 May 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",7.9 x 28.4 x 43.1 Centimeters,1 Count,Laptop,,,512 GB,,Intel Iris Xe Graphics,,,3200 MHz,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15, 13th Gen Intel Core i5-1335U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Blue, 1.6kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0021tu","54,390",https://www.amazon.in/HP-i5-1335U-Anti-Glare-Micro-Edge-15-6-inch/dp/B0C3MGYZQX/ref=sr_1_1015?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1015&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,HP,HP,HP Laptop,Blue With Offer,Netbook,52.2 Centimeters,6.9 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,52.2 x 6.9 x 52.2 cm; 1.6 kg,1 Lithium Ion batteries required. (included),15-fd0021TU,Intel,Core i5,4.6 GHz,1,DDR4,16 GB,SSD,"Headphones, Speakers",Intel,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,7 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,1 kg 600 g,B0C3MGYZQX,"3.5
14 ratings
3.5 out of 5 stars","#51,306 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,528 in Traditional Laptops",26 April 2023,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,52.2 x 6.9 x 52.2 Centimeters,1 Count,Laptop,8 GB,,512 GB,,Intel Iris Xe Graphics,8 GB,,3200 GHz,,2,1,240 Volts,,,Audio by B&O and Dual speakers,0.92 MP,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Modern 14 H, Intel Core i7 13620H,36Cm Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Iris Xe/Classic Black/1.6Kg), D13MG-072IN","62,990",https://www.amazon.in/Modern-13620H-Windows-Classic-D13MG-072IN/dp/B0D22LG7DR/ref=sr_1_1016?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1016&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,MSI,MSI,Modern 14 H,Classic Black,Laptop,43.2 Centimeters,31.7 Centimeters,36 Centimetres,1920 x 1200 pixel,,8.6 x 31.7 x 43.2 cm; 1.6 kg,1 Lithium Polymer batteries required. (included),,Intel,Intel Core i7,1.8 GHz,1,DDR4,64 GB,SSD,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,14 Hours,Yes,53.8 Watt Hours,3,"Laptop, Power Adapter, Battery",China,1 kg 600 g,B0D22LG7DR,"4.0
1 rating
4.0 out of 5 stars","#60,908 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,863 in Traditional Laptops",18 April 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",8.6 x 31.7 x 43.2 Centimeters,1 Count,Laptop,16,,,,Intel Iris Xe Graphics,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook S 15 2022, Intel Core EVO i5-12500H 12th Gen, 15.6-inch (39.62 cms) FHD, Thin & Light Laptop (8GB/512GB SSD/Win11/Office 2021/Backlit/FingerPrint/70WHr/Black/1.80 kg), K3502ZA-KJ522WS","60,490",https://www.amazon.in/ASUS-i5-12500H-15-6-inch-FingerPrint-K3502ZA-KJ522WS/dp/B0BRYYGD6Z/ref=sr_1_1017?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1017&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,ASUS,ASUS,Vivobook S 15,Indie Black,Ultra-Portable,49.2 Centimeters,6.4 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,49.2 x 6.4 x 49.2 cm; 1.8 kg,1 Lithium Ion batteries required. (included),K3502ZA-KJ522WS,Intel,Core i5,4.5 GHz,8,DDR4,12 GB,SSD,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,8 Hours,Yes,,3,"Laptop, Adapter & User Manual",,1 kg 800 g,B0BRYYGD6Z,"4.2
120 ratings
4.2 out of 5 stars","#43,405 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,258 in Traditional Laptops",27 April 2023,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",49.2 x 6.4 x 49.2 Centimeters,1 Count,Laptop,8 GB,SODIMM,512 GB,PCIE x 4,Intel Iris Xe Graphics,8 GB,,3200 GHz,1,3,1,20 Volts,90 Watts,No Optical Storage Device,"Smart Amp Technology, Built-in speaker, Built-in array microphone, harman/kardon (Mainstream)",,,PC,,"Bluetooth, 802.11ax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad T480 8th Gen Intel Core i5 Thin & Light FHD Touchscreen Laptop (8 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) FHD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Integrated Graphics)","19,999",https://www.amazon.in/Refurbished-Lenovo-Touchscreen-Bluetooth-Integrated/dp/B0CBJWL8VZ/ref=sr_1_1018?dib=eyJ2IjoiMSJ9.P3oStBh077wC0OJHV06fsCDavfaKwgSECQuAHzEgR8pAzrWss2NTjDMNtQzxpNj9kLqFWxiPar1r89tyXpcjbQgbY0sfogAzh325zql10ec-iT5tDsNfrSTC0x-z7iI5MFV4ejaJnVQDR3vOG_kDtmODlPjbRcRCpTHSphusL6h09UewoXCiHpyVFMOxUXcVVFCui_RwDclDy3jUVFJanXAr_ZzPFqurLedi5jcHb0MIys20w5HI7TqZ9o3XxO_5L9p9zAjqnzq_yFWnRJPf6n_hJwlqLuqY4UUNgaXyyeuQOYUh7taR8hAfCw5xvRSIeSqJmSxXe1B1GTw-4ZoxxPEYIeDs4kGpcEwh3D25QBA.UGSfUA1PhpL-fHtReNvEPUO1He4yUpUb0zlWBflABZU&dib_tag=se&qid=1737657648&s=computers&sr=1-1018&xpid=aGsdZ06zmnQzo,2025-01-24 00:31:40,Lenovo,Lenovo,Lenovo ThinkPad,black,Laptop,15 Centimeters,35 Centimeters,14 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,45 x 35 x 15 cm; 1.7 kg,1 Lithium Ion batteries required. (included),T480,Intel,Intel Core i5,1.6 GHz,1,DDR4,16 GB,SSD,Headphones,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows,6 Hours,Yes,45 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0CBJWL8VZ,"2.9
22 ratings
2.9 out of 5 stars","#53,231 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,587 in Traditional Laptops",10 July 2023,,,45 x 35 x 15 Centimeters,1.00 count,lenovo thinkpad,8 GB,DDR4 SDRAM,512 GB,USB,Intel UHD Graphics 620,,,,,2,1,,,,integrated high quality speakers,,ac,Windows,5400 RPM,802.11bgn,50 Grams,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
