title,price,url,scrape_date,tech_Manufacturer,tech_Country of Origin,tech_Item model number,tech_Package Dimensions,tech_ASIN,info_Manufacturer,info_Packer,info_Importer,info_Item Weight,info_Net Quantity,info_Included Components,info_Generic Name,tech_Brand,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,tech_Resolution,tech_Computer Memory Type,tech_Optical Drive Type,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Wireless Type,tech_Average Battery Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of HDMI Ports,tech_Power Source,tech_Hardware Platform,tech_Number of USB 2.0 Ports,tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Speaker Description,tech_Wattage,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage; Silver","1,82,990",https://www.amazon.in/Apple-2024-MacBook-Laptop-10%E2%80%91core/dp/B0DLHGKDXH/ref=sr_1_385?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-385&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,Apple,China,MW2X3HN/A,40.1 x 30.5 x 9.7 cm; 1.55 kg,B0DLHGKDXH,"Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",Not Applicable for Apple (Always),"(If applicable) Apple India Private Limited 13th Floor, Prestige Minsk Square, Municipal No. 6, Cubbon Road, Bengaluru, Karnataka - 560001, India",1 kg 550 g,1 Count,"USB-C Power Adapter, USB-C to MagSafe 3 Cable (2m) 1N, 14-inch MacBook Pro 1N","14-inch MacBook Pro (M4, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UC-1690IN","69,990",https://www.amazon.in/MSI-i7-12650H-Windows-GeForce-B12UC-1690IN/dp/B0CV9VTBKD/ref=sr_1_386?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-386&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,MSI,China,,,,,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",,1 Count,,Laptop,MSI,Thin 15,Cosmos Gray,Laptop,46.9 Centimeters,32.1 Centimeters,40 Centimetres,1920 x 1080 pixel,8.5 x 32.1 x 46.9 cm; 3.36 kg,1 Lithium Polymer batteries required. (included),Intel,Core i7,4.7,1,16,DDR4,64 GB,SSD,Headphones,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,Wi-Fi,3,11.1 Volts,Windows 11 Home,Yes,52.4 Watt Hours,3,Laptop,3 kg 360 g,B0CV9VTBKD,"4.5
9 ratings
4.5 out of 5 stars","#17,753 in Computers & Accessories (See Top 100 in Computers & Accessories)
#501 in Traditional Laptops",9 February 2024,8.5 x 32.1 x 46.9 Centimeters,,,,,,,,,,,,,,,,,,,
"ASUS TUF Gaming F15, 15.6"" FHD 16:9, 144Hz 250nits, Intel Core i7-13620H 13th Gen, Gaming Laptop (16GB RAM/512GB SSD/RTX 4050/Windows 11/Office Home/90WHr Battery/Mecha Gray/2.2 Kg), FX507VU-LP210WS","99,990",https://www.amazon.in/ASUS-TUF-Gaming-15-6-FX507VU-LP210WS/dp/B0DDTRGGQ3/ref=sr_1_387?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-387&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,ASUS,China,FX507VU-LP210WS,42.79 x 31.1 x 10.4 cm; 2.2 kg,,,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,,Gaming Laptop,ASUS,ASUS TUF Gaming F15,Mecha Gray,Laptop,,,15.6 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),Intel,Intel Core i7,4.9 GHz,10,16,DDR5,32 GB,SSD,,NVIDIA GeForce RTX 4050,NVIDIA,Dedicated,GDDR6,6 GB,Integrated,"Bluetooth, Wi-Fi",,,Windows 11 Home,Yes,90 Watt Hours,4,"Laptop, Charging Adapter & User Manual",2 kg 200 g,B0DDTRGGQ3,"4.3
2 ratings
4.3 out of 5 stars","#17,039 in Computers & Accessories (See Top 100 in Computers & Accessories)
#482 in Traditional Laptops",21 August 2024,,1920 x 1080,DDR5 RAM,No Optical Storage,,,,,,,,,,,,,,,,
"ASUS [Smartchoice ROG Strix G16, 16""(40.64cm) FHD+ 165Hz, 13th Gen Core i7-13650HX,Gaming Laptop(16GB RAM/1TB SSD/NVIDIA GeForce RTX 4060 /Windows 11/Office 21/Eclipse Gray/2.50 Kg), G614JV-N3474WS","1,34,990",https://www.amazon.in/ASUS-Smartchoice-40-64cm-i7-13650HX-G614JV-N3474WS/dp/B09TB4FPKW/ref=sr_1_388?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-388&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,ASUS,China,G614JV-N3474WS,,,,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,,Gaming Laptop,ASUS,ROG Strix G16,Eclipse Gray,Ultra-Portable,42.5 Centimeters,33.5 Centimeters,16 Inches,1920 x 1200 pixels,10.6 x 33.5 x 42.5 cm; 2.5 kg,1 Lithium Polymer batteries required. (included),Intel,Core i7,2.6 GHz,14,16,DDR5,32 GB,SSD,"Headphones, Speakers",NVIDIA GeForce RTX 4060,NVIDIA,Dedicated,GDDR6,8 GB,"PCI Express, Integrated","Bluetooth, Wi-Fi",3,20 Volts,Windows 11 Home,Yes,90 Watt Hours,4,"Laptop, Charging Adapter & User Manual",2 kg 500 g,B09TB4FPKW,"4.0
16 ratings
4.0 out of 5 stars","#18,957 in Computers & Accessories (See Top 100 in Computers & Accessories)
#537 in Traditional Laptops",19 April 2024,10.6 x 33.5 x 42.5 Centimeters,1920 x 1200,SODIMM,No Optical Storage,4800 MHz,1 TB,PCIE x 4,"Bluetooth, 802.11ax",6 Hours,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 5400 Intel Core i5 Mobile-8th Gen -Processor , 8 GB Ram & 512 GB SSD, 14 Inches FHD 1080p Screen Notebook Computer","20,150",https://www.amazon.in/Refurbished-Dell-Latitude-Mobile-8th-Processor/dp/B0CGRL1WTX/ref=sr_1_390?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-390&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,Dell,,5400-i5-T-8-512-cr,20 x 20 x 10 cm; 1.57 kg,,,,,,1.00 count,,,Dell,5400-i5,,Laptop,,,14 Inches,,,,Intel,Core i5 8250U,1.6 GHz,1,8 GB,DDR4,8 GB,SSD,Speakers,,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,2,,Windows 10 Pro,No,,,"Laptop, Battery, Charger with Power Cable",1 kg 570 g,B0CGRL1WTX,"5.0
1 rating
5.0 out of 5 stars","#11,347 in Computers & Accessories (See Top 100 in Computers & Accessories)
#343 in Traditional Laptops",28 August 2023,,1920 x 1080 Pixels,,No Optical Drive,,512 GB,,,,5400 RPM,1,Battery Powered,Windows,,,,,,,
"Lenovo V15 G3 Intel Core i3-1215U 12th Gen Thin and Light Laptop/ 8GB DDR4 3200 Ram / 512 GB SSD PCIe/Windows 11/Integrated Graphics /15.6"" FHD Display / 1 Year Warranty","31,980",https://www.amazon.in/Lenovo-i3-1215U-Integrated-Graphics-Warranty/dp/B0D5Z1J8GR/ref=sr_1_391?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-391&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,Lenovo,,,21 x 13 x 3 cm; 1.7 kg,,,Lenovo,Lenovo,,1 Piece,,Laptop,Lenovo,Lenovo V15 G3 IAP,,thin and light,,,15.6 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),Intel,Core i3,3.3 GHz,1,8,DDR4,16 GB,SSD,Headphones,,Intel,Integrated,DDR4 SDRAM,8 GB,Integrated,Wi-Fi,3,,Windows 11 Home,Yes,2 Watt Hours,3,"User Manual, Lpatop",1 kg 700 g,B0D5Z1J8GR,"3.6
5 ratings
3.6 out of 5 stars","#16,024 in Computers & Accessories (See Top 100 in Computers & Accessories)
#461 in Traditional Laptops",3 June 2024,,1920 x 1080 Pixels,DDR4 SDRAM,,,8 GB,,Bluetooth,6 Hours,,,,,1,,,,,,
"ASUS TUF Gaming, 14"" FHD, 165Hz 400 nits, AMD Ryzen AI 9 HX 370 Processor 2.0GHz, Gaming Laptop (32GB RAM/2TB SSD/NVIDIA GeForce RTX 4060/Windows 11/Office 2021//Jaeger Gray/1.46 Kg), FA401WV-RG037WS","1,64,990",https://www.amazon.in/ASUS-Processor-GeForce-Windows-FA401WV-RG037WS/dp/B0DBLMYJJ6/ref=sr_1_392?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-392&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,ASUS,China,FA401WV-RG037WS,43.6 x 29 x 7.1 cm; 1.46 kg,,,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,,Laptop,ASUS,ASUS TUF Gaming,Jaeger Gray,Laptop,,,14 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),AMD,Ryzen 9,5.1 GHz,12,32 GB,lpddr5xlpddr5xlpddr5x,,,,NVIDIA GeForce RTX 4060,AMD,Dedicated,GDDR6,8 GB,Integrated,Wi-Fi,,110 Volts,Windows 11 Home,Yes,73 Watt Hours,4,"Laptop, Charging Adapter & User Manual",1 kg 460 g,B0DBLMYJJ6,"4.7
4 ratings
4.7 out of 5 stars","#19,785 in Computers & Accessories (See Top 100 in Computers & Accessories)
#553 in Traditional Laptops",30 July 2024,,2560 x 1600 Pixels,DDR5 RAM,No Optical Storage,,2 TB,,,,,,,,,,,,,,
(Refurbished) HP Elitebook 840 G3 Laptop (Core i5 6th Gen 8Gb Ram 256Gb SSD 14.1 inches Led Windows 10 Pro),"17,400",https://www.amazon.in/Renewed-HP-Elitebook-840-Windows/dp/B09B3XYGRB/ref=sr_1_393?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-393&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,HP,China,HP Elitebook 840 G3-cr,,,,,,,,,Business Laptop,HP,ELITEBOOK 840 G3,Silver,Traditional Laptop,1.89 Centimeters,33.8 Centimeters,14.1 Inches,1366x768,23.7 x 33.8 x 1.89 cm; 1.9 kg,1 Lithium Ion batteries required. (included),Intel,Core i5,,2,8 GB,,,SSD,Headphones,Intel HD Graphics,Intel,Integrated,,,Integrated,Wi-Fi,,,Windows 10 Pro,Yes,,,Laptop & Charger,1 kg 900 g,B09B3XYGRB,"4.0
2 ratings
4.0 out of 5 stars","#12,195 in Computers & Accessories (See Top 100 in Computers & Accessories)
#10 in Celebrate Ganesha Chaturthi with Renewed
#375 in Traditional Laptops",23 July 2021,23.7 x 33.8 x 1.9 Centimeters,HD (1366 X 768) MP,,No Optical Drive,,256 GB,eSATA,,3 Hours,5400 RPM,,Battery Powered,Windows,,LED,1,,,,
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/Backlit Keyboard/FPR/Black/1Y Onsite/1.41 kg), 21JKS0X900","74,990",https://www.amazon.in/Lenovo-ThinkPad-Windows-Keyboard-21JKS0X900/dp/B0CVQRJQ5P/ref=sr_1_394?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-394&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,Lenovo,India,,45 x 30.4 x 8 cm; 1.41 kg,,,"Lenovo India Pvt Ltd RSNO 19/1A,2A Edayar Palayam village Cuddalore Main Road Thavalakuppam.Pondicherry-605007","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi, Marathaalli Outer Ring Road, Bangalore, India 560037",,1 Count,,Laptop,Lenovo,E14 Gen5,Black,Laptop,,,14 Inches,1920 x 1200 pixels,,1 Lithium Polymer batteries required. (included),Intel,Core i5,1.3 GHz,1,16 GB,DDR4,40 GB,SSD,"Headphones, Speakers",,Intel,Integrated,Shared,,Integrated,Wi-Fi,,230 Volts,Windows 11 Home,Yes,47 Watt Hours,3,"Laptop, User manual, Adapter,,,,,,,,,,,,,,,,,,,",1 kg 410 g,B0CVQRJQ5P,"3.5
4 ratings
3.5 out of 5 stars","#23,646 in Computers & Accessories (See Top 100 in Computers & Accessories)
#669 in Traditional Laptops",15 February 2024,,,,No Optical Drive,3200 MHz,,,,,,,,,1,,,,,,
"Dell G15-5530 Windows 11 Home, Intel Core i5-13450HX| NVIDIA RTX 3050, 6GB|8GB RAM|512GB SSD, FHD|Window 11|Ms Office' 21|15.6"" (39.62Cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop","70,490",https://www.amazon.in/Dell-G15-5530-Gaming-i5-13450HX-Processor/dp/B0CRKV7WKT/ref=sr_1_385?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-385&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,Dell India Pvt Ltd,China,New Dell Gaming G15,,,,Dell India Pvt Ltd,Dell India Pvt Ltd,,1 count,,Laptop,Dell,G Series,6GB RTX 3050 GPU+8GB+512GB,Gaming Laptop,27.4 Centimeters,35.7 Centimeters,15.6 Inches,1920 x 1080 pixel,2.7 x 35.7 x 27.4 cm; 2.65 kg,1 Lithium Ion batteries required. (included),Intel,Core i5,4.6 GHz,1,8 GB,DDR5,32 GB,SSD,Headphones,Intel,NVIDIA,Dedicated,GDDR6,6 GB,PCI Express,Bluetooth,4,240 Volts,Windows 11 Home,Yes,56 Watt Hours,3,"User Manual, Laptop, Charger & Adapter",2 kg 650 g,B0CRKV7WKT,"3.6
12 ratings
3.6 out of 5 stars","#9,675 in Computers & Accessories (See Top 100 in Computers & Accessories)
#295 in Traditional Laptops",5 January 2024,27 x 357 x 274 Millimeters,1920X1080 Pixels,,,,512 GB,USB 3.2,Bluetooth,,,1,,,,,,,,,
"(Refurbished) Lenovo ThinkPad T480 8th Gen Intel Core i5 Thin & Light FHD Touchscreen Laptop (8 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) FHD/Windows 11/MS Office/WiFi/Webcam/Intel HD Graphics)","20,899",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Touchscreen-Graphics/dp/B0DC66DBZS/ref=sr_1_386?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-386&xpid=UXgihshJk2j2d,2025-01-23 12:23:10,Lenovo,,,45 x 35 x 15 cm; 1.7 kg,,,,,,1.00 count,,,Lenovo,Lenovo ThinkPad,,Laptop,,,14 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),Intel,Intel Core i5,1.6 GHz,1,,DDR4,16 GB,SSD,Headphones,,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",2,,Windows,Yes,54 Watt Hours,3,"Laptop, Power Cord, Battery",1 kg 700 g,B0DC66DBZS,"5.0
1 rating
5.0 out of 5 stars","#12,266 in Computers & Accessories (See Top 100 in Computers & Accessories)
#43 in Renewed Store.
#380 in Traditional Laptops",5 August 2024,,1920 x 1080 Pixels,,,,,,,,,1,,,,,,,,,
