title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Net Quantity,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Rear Webcam Resolution,tech_Front Webcam Resolution,tech_Average Battery Life (in hours),info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Generic Name,tech_Average Battery Standby Life (in hours),tech_Number of Lithium Metal Cells,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device interface - primary,tech_Device type,tech_Item dimensions L x W x H,tech_Recommended Uses For Product,tech_Theme,tech_Cartoon Character,tech_Special Feature,tech_Number of Pieces,tech_Style,tech_Age Range (Description),tech_Reusability,tech_Item Form,tech_Pattern,tech_Indoor/Outdoor Usage,tech_Finish Type,tech_Number of Items,tech_Target Audience,tech_ASIN,info_Manufacturer,info_Item Weight,tech_Special Features,tech_Image contrast ratio,tech_Aspect Ratio,tech_Microphone format,tech_Microphone technology,tech_Refresh Rate,tech_Number of Ports,info_Included Components,tech_Imported By,tech_Battery Charge Cycles,tech_Number of Audio-out Ports,tech_Number of Ethernet Ports,tech_Lock Type,tech_Capacity,tech_Material,tech_Mounting Type,tech_Alarm,tech_Water Resistance Level,tech_Chamber Depth,tech_Chamber Height,tech_Global Trade Identification Number,tech_Notebook Display Technology,tech_Supported Software,tech_Special features,tech_Whats in the box,tech_Number of Microphone Ports,tech_Number of VGA Ports,tech_Response Time,tech_Compatible Devices,tech_Battery Average Life Standby,tech_Blanket Form,tech_Seasons,tech_Product Care Instructions,tech_Fabric Warmth Description,tech_Sport
(Refurbished) DELL LATITUDE 5480 Lightweight (Core i5 6th GEN/ 8GB RAM/ 256GB SSD/ WEBCAM/ 14'' NO TOUCH/ WIN PRO),"20,500",https://www.amazon.in/Refurbished-LATITUDE-Lightweight-256GB-WEBCAM/dp/B0BY261VGP/ref=sr_1_1369?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1369&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,Dell,DELL,DELL LATITUDE 5480-cr,Black,Laptop,14 Inches,1920 x 1080 pixels,1920 x 1080,50.4 x 29.4 x 8.2 cm; 2.64 kg,1 Lithium Ion batteries required. (included),QCNBPAW0073-2-cr,Intel,Core i5 6200U,3.9 GHz,4,8 GB,DDR4,16 GB,256 GB,SSD,Solid State,5400 RPM,Speakers,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,1,1,No Optical Device,Battery Powered,Windows,Windows 10 Pro,Yes,45 Watt Hours,190 Grams,3,Laptop & Charger,China,2 kg 640 g,B0BY261VGP,"4.1
8 ratings
4.1 out of 5 stars","#80,717 in Computers & Accessories (See Top 100 in Computers & Accessories)
#128 in Top Rated Renewed Products
#181 in Renewed - Regional New Year
#255 in Renewed Store.",10 March 2023,1.00 count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Laptop 4-13.5"" inches Screen, Windows 11 Home, Intel Core i5-1135G7 /16 GB RAM/512 GB SSD/Black - (5AI-00121)","99,990",https://www.amazon.in/Microsoft-Surface-Laptop-i5-1135G7-5AI-00121/dp/B0B1DTBVKW/ref=sr_1_1370?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1370&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,Microsoft,Microsoft,Laptop 4,Black,Laptop,13 Inches,2560 x 1080 pixels,2256 x 1504 Pixels,,1 Lithium Ion batteries required. (included),5AI-00121,Intel,Core i5,1.5 GHz,4,16 GB,LPDDR4,16 GB,512 GB,SSD,eSATA,,"Headphones, Speakers",Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi","Bluetooth, 802.11a/b/g/n",,1,No Optical Drive,Battery Powered,PC,Windows 11 Home,Yes,2.6 Watt Hours,,6,"Surface Laptop 4,Power Supply,Quick Start Guide, Safety & Warranty documents",China,1 kg 290 g,B0B1DTBVKW,"2.9
4 ratings
2.9 out of 5 stars","#89,585 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,835 in Traditional Laptops",16 May 2022,1 Count,14 Millimeters,22.4 Centimeters,30.7 x 22.4 x 1.4 cm; 1.29 kg,DDR4 SDRAM,2400 MHz,Omnisonic Speakers with Dolby Atmos®⁷,Intel Iris Xe Graphics,1 GB,1,28 Volts,50 Watts,8 MP,2 MP,2.25 Hours,"Tech-Com (Shanghai) Computer Co., Ltd. No. 68, SanZhuang Rd, Songjiang Export Processing Zone, Shanghai 201613, P.R. China","JAINA INDIA PRIVATE LIMITED Registered Office: D-170, OKHLA INDUSTRIAL AREA, PHASE 1, DELHI, 110020, INDIA",30.7 x 22.4 x 1.4 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad L14 Intel Core i5-10310U Quad Core Processor Laptop (64 GB DDR4 RAM/1 TB SSD/14"" (39.62 cm) FHD (1080p)/Windows 11/WiFi/Bluetooth/Webcam)","42,590",https://www.amazon.in/Refurbished-Lenovo-L14-i5-10310U-Processor/dp/B0DG59SGHQ/ref=sr_1_1371?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1371&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,Lenovo,Lenovo,Lenovo ThinkPad L14,black,Laptop,14.1 Inches,1920 x 1080 pixel,1920 x 1200 pixels Pixels,20 x 20 x 10 cm; 2 kg,,L14,Intel,Intel Core i5,1.7 GHz,1,,DDR4,64 GB,1E+3 GB,SSD,,,Headphones,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",,,3,,,,Windows,No,,,,"Laptop, Power Cord, Battery, Power Adaptor",India,2 kg,B0DG59SGHQ,,"#103,186 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,258 in Traditional Laptops",5 September 2024,1.00 count,,,,DDR4 SDRAM,,,,,1,,,,,,rentopc.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 512GB SSD - Graphite - ZGP-00059,"1,50,990",https://www.amazon.in/Microsoft-New-Surface-Laptop-7th/dp/B0D926W4YN/ref=sr_1_1372?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1372&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,Microsoft,Microsoft,Surface Laptop,Graphite,touchscreen,13.8 Inches,2304 x 1536 pixels,2304 x 1536 Pixels Per Inch,40.9 x 25.2 x 6.4 cm; 1.22 kg,1 Lithium Ion batteries required. (included),ZGP-00059,Qualcomm,Snapdragon,3.4 GHz,1,16 GB,LPDDR5x,16 GB,512 GB,SSD,,,Speakers,Qualcomm,Integrated,DDR5 SDRAM,Integrated,"Bluetooth, Wi-Fi",,,,,,,Windows 11 Home,Yes,54 Watt Hours,,6,"PSU, QSG, Power Adopter, Manual Book, Safety and Warranty documents",China,1 kg 220 g,B0D926W4YN,"5.0
3 ratings
5.0 out of 5 stars","#86,265 in Computers & Accessories (See Top 100 in Computers & Accessories)
#92 in 2 in 1 Laptops",10 July 2024,1 Count,,,,DDR5 RAM,,Dolby Atmos,,,,15 Volts,,,,13 Hours,"Tech-Com (Shanghai) Computer Co., Ltd. No. 68, SanZhuang Rd, Songjiang Export Processing Zone, Shanghai 201613, P.R. China","JAINA INDIA PRIVATE LIMITED Registered Office: D-170, OKHLA INDUSTRIAL AREA, PHASE 1, DELHI, 110020, INDIA",,Laptop,20 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP ELITEBOOK 830 G5 (Core i5 8th GEN/ 16GB RAM/ 512GB SSD/ WEBCAM/ 13.3"" NON TOUCH/ WIN-10 PRO)","26,490",https://www.amazon.in/Refurbished-HP-ELITEBOOK-WEBCAM-WIN-10/dp/B0BY98H2ZV/ref=sr_1_1373?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1373&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,HP,HP,HP ELITEBOOK 830 G5-cr,Silver,,13.3 Inches,1920 x 1080 pixels,1920 x 1080,43.8 x 36.2 x 10.2 cm; 3 kg,1 Lithium Ion batteries required. (included),QCNBPAW0163-cr,Intel,Core i5 8250U,1.6 GHz,4,16 GB,DDR4,16 GB,512 GB,SSD,Solid State,5400 RPM,Speakers,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,,1,1,,Battery Powered,Windows,Windows 10 Pro,Yes,45 Watt Hours,190 Grams,3,Laptop & Charger,China,3 kg,B0BY98H2ZV,"2.3
11 ratings
2.3 out of 5 stars","#78,527 in Computers & Accessories (See Top 100 in Computers & Accessories)
#167 in Renewed - Regional New Year
#2,498 in Traditional Laptops",13 March 2023,1.00 count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Victus AMD Ryzen 7-5800H 15.6 inch(39.6 cm) FHD Gaming Laptop (16GB RAM/512GB SSD/RTX 3050 4GB Graphics/144Hz/9ms Response Time/Win 11/MSO/Backlit KB/B&O Audio/Xbox Pass(30 Day)),15-fb0053AX","68,990",https://www.amazon.in/HP-7-5800H-Graphics-Response-15-fb0053AX/dp/B0B5R8QWBB/ref=sr_1_1374?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1374&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,HP,HP,15-fb0053AX,Mica Silver,Clamshell,39.6 Centimetres,1930 x 1080 pixels,,,1 Lithium Ion batteries required. (included),15-fb0053AX,AMD,Ryzen 7 5800H,4.4 GHz,1,16 GB,DDR4,16 GB,512 GB,SSD,,,Speakers,AMD,Dedicated,GDDR6,PCI Express,"Bluetooth, Wi-Fi",,,2,,,PC,Windows 11 Home,Yes,70 Watt Hours,,4,"Laptop, Power Adapter, User manual",,2 kg 370 g,B0B5R8QWBB,"3.4
12 ratings
3.4 out of 5 stars","#65,997 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,045 in Traditional Laptops",4 July 2022,1 Count,24 Millimeters,25.5 Centimeters,35.8 x 25.5 x 2.4 cm; 2.37 kg,,,Audio by B&O; Dual Speakers,NVIDIA GeForce RTX 3050,4 GB,1,,,,,,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,35.8 x 25.5 x 2.4 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Refurbished) Dell Latitude E5450 Laptop (Intel Core I5 5Th Gen/8Gb/256Gb Ssd/Webcam/14 Inches No Touch/Dos),"17,500",https://www.amazon.in/Renewed-Dell-Latitude-Laptop-WEBCAM/dp/B08JYV6GBL/ref=sr_1_1375?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1375&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,Dell,Dell Computers,Latitude E5450,Black,Laptop,14 Inches,,HD (1366 X 768) Pixels,,1 Lithium Ion batteries required. (included),DELL LATITUDE E5450-cr,Intel,Core i5-5287U,,,8 GB,DDR4,,256 GB,SSD,Serial ATA,5400 RPM,Speakers,Intel,,,,Webcam,,,,,Battery Powered,dos,DOS,Yes,42 Watt Hours,,4,,China,1 kg 810 g,B08JYV6GBL,"3.9
10 ratings
3.9 out of 5 stars","#89,727 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,840 in Traditional Laptops",24 September 2020,,0.9 Inches,9.1 Inches,33.53 x 23.11 x 2.29 cm; 1.81 kg,,,,Intel HD Graphics 5500,,,,,,,,,,33.5 x 23.1 x 2.3 Centimeters,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo LOQ 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (12GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/100% sRGB/Office 21/3 Month Game Pass/Luna Grey/2.4Kg), 83GS009RIN","63,190",https://www.amazon.in/Lenovo-i5-12450HX-39-6cm-300Nits-83GS009RIN/dp/B0D1XS2MJT/ref=sr_1_1376?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1376&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,Lenovo,Lenovo,LOQ 15IAX9,Luna Grey,Ultra-Portable,15.6 Inches,1920 x 1080 pixel,1920 x 1080,,1 Lithium Polymer batteries required. (included),15IAX9,Intel,Intel Core i5,3.1 GHz,8,12 GB,DDR5,32 GB,512 GB,SSD,,,Headphones,Intel,Dedicated,GDDR6,PCI Express,Wi-Fi,,,4,Not Available,,,Windows 11,Yes,,,4,Laptop,,3 kg 500 g,B0D1XS2MJT,"4.0
2 ratings
4.0 out of 5 stars","#73,124 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,306 in Traditional Laptops",17 April 2024,1 Piece,54 Centimeters,35.2 Centimeters,8.6 x 35.2 x 54 cm; 3.5 kg,DDR5 RAM,,2 x 2W speakers with Nahimic Audio & Sound Tracker,,4 GB,4,12 Volts,65 Watts,,,6 Hours,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",8.6 x 35.2 x 54 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Xps 9530,Intel Evo Platform Powered by Intel Core I7-Processor/32Gb Ddr5/1Tb Ssd/Nvidia RTX 4050 6Gb Gddr6/15.6"" OLED Ar 400 Nits,Touch/Backlit Kb,15 Month Mcafee/Silver/1.86Kg-Windows 11 Home","2,80,042",https://www.amazon.in/Dell-Platform-Powered-i7-13700H-Processor/dp/B0CBKY2999/ref=sr_1_1377?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1377&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,Dell,Dell India Pvt Ltd,XPS,Silver,Laptop,15.6 Inches,1920 x 1200 pixel,,,1 Lithium Ion batteries required. (included),XN95300UCFGM04CRS1,Intel,Core i7,5 GHz,1,32 GB,DDR5,64 GB,,SSD,,,Headphones,NVIDIA,Dedicated,GDDR6,PCI Express,Bluetooth,,,1,,Battery Powered,,Windows 11 Home,Yes,86 Watt Hours,,6,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 860 g,B0CBKY2999,"4.3
2 ratings
4.3 out of 5 stars","#94,413 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,000 in Traditional Laptops",10 July 2023,1 Count,42.5 Centimeters,14.5 Centimeters,42.5 x 14.5 x 42.5 cm; 1.86 kg,,,,NVIDIA GeForce RTX 4050,6 GB,,240 Volts,,,,6 Hours,Dell India Pvt Ltd,Dell India Pvt Ltd,42.5 x 14.5 x 42.5 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP EliteBook 840 G8 Notebook PC, 11th Gen Intel Core i5 14-inch FHD, IPS, Anti-Glare Displ","46,900",https://www.amazon.in/Refurbished-HP-EliteBook-Notebook-Anti-Glare/dp/B0BYSXMZK1/ref=sr_1_1378?dib=eyJ2IjoiMSJ9.acTZ9fTPHNHq5QKDw0ERCfayHcLoDIRBjYKEPOvNxOdT_MDkkPDX3wBMn5D6XgVCCFmiv-5PqeCAfse38gMjzCSNXx9vBw962QwCS5OzZwpFhHgBVXFgkudTwSEHP5-IxyP8hXlcvjs8K1fKV0D8C_B_a-63bXDy6bZTqIEji4O-h1MSs7-w1ALCWVkatgdWuS0CwXC4gVuD9vLI4FUjNmuxQFsy3pfbb9BxiQgYEDnrnOOYsWNX6WqTmagV9WyWBbYZPyyq_RpylkXBVKKmyNpOHxEX3po-jN99PDP83dUb9jSpzeJ-enRKJw-nfC-zF37eQgh74Cu0ALkpzwhwYUt7EQ8RtGC1t9GpPHNS_JA.MZ8SIZOwW8lM8Z0SnbN--dS3BoVQ7K_La0PAwpDoOfc&dib_tag=se&qid=1737704514&s=computers&sr=1-1378&xpid=Nq2TqhdbIsqAo,2025-01-24 14:37:46,HP,intel,HP EliteBook 840 G8 Notebook PC,Pike Silver Aluminium,Notebook,14 Inches,1920 x 1080 pixel,1920x1080,,1 Lithium Ion batteries required. (included),Elitebook 840 G8,Intel,Core i5,4.2 GHz,1,8 GB,DDR4,8 GB,512 GB,SSD,Solid State,13 RPM,Speakers,Intel,Integrated,VRAM,,"Bluetooth, Wi-Fi",Bluetooth,,,,Battery Powered,,Windows 10,Yes,4.9 Watt Hours,100 Grams,2,"Laptop, Power Adapter",China,1 kg 300 g,B0BYSXMZK1,,"#103,786 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,288 in Traditional Laptops",17 March 2023,1 Pack,18 Millimeters,21.5 Centimeters,32.3 x 21.5 x 1.8 cm; 1.3 kg,,,,Intel Iris X,,1,,,,,11 Hours,,,32.3 x 21.5 x 1.8 Centimeters,HP EliteBook 840 G8 Notebook PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
